"","Color","variable","value"
"1","White","None",38.84
"2","Black","None",29.83
"3","Hispanic","None",21.5
"4","Other","None",28.68
"5","White","One",9.84
"6","Black","One",7.65
"7","Hispanic","One",9.98
"8","Other","One",9.16
"9","White","Two",13.23
"10","Black","Two",11.67
"11","Hispanic","Two",9.92
"12","Other","Two",11.61
"13","White","Three",8.78
"14","Black","Three",8.19
"15","Hispanic","Three",12.09
"16","Other","Three",9.69
"17","White","Four",3.63
"18","Black","Four",3.19
"19","Hispanic","Four",4.55
"20","Other","Four",3.79
"21","White","Five.or.More",18.52
"22","Black","Five.or.More",30.39
"23","Hispanic","Five.or.More",28.6
"24","Other","Five.or.More",25.84
"25","White","Unsure",7.15
"26","Black","Unsure",9.22
"27","Hispanic","Unsure",13.03
"28","Other","Unsure",9.8
